block dimensions: 158 x 40
0 0, (0.000, 0.000)
1 0, (1.014, 0.000)
2 0, (2.029, 0.000)
3 0, (3.043, 0.000)
4 0, (4.058, 0.000)
5 0, (5.072, 0.000)
6 0, (6.087, 0.000)
7 0, (7.101, 0.000)
8 0, (8.116, 0.000)
9 0, (9.130, 0.000)
10 0, (10.145, 0.000)
11 0, (11.159, 0.000)
12 0, (12.174, 0.000)
13 0, (13.188, 0.000)
14 0, (14.203, 0.000)
15 0, (15.217, 0.000)
16 0, (16.232, 0.000)
17 0, (17.246, 0.000)
18 0, (18.261, 0.000)
19 0, (19.275, 0.000)
20 0, (20.290, 0.000)
21 0, (21.304, 0.000)
22 0, (22.319, 0.000)
23 0, (23.333, 0.000)
24 0, (24.348, 0.000)
25 0, (25.362, 0.000)
26 0, (26.377, 0.000)
27 0, (27.391, 0.000)
28 0, (28.406, 0.000)
29 0, (29.420, 0.000)
30 0, (30.435, 0.000)
31 0, (31.449, 0.000)
32 0, (32.464, 0.000)
33 0, (33.478, 0.000)
34 0, (34.493, 0.000)
35 0, (35.507, 0.000)
36 0, (36.522, 0.000)
37 0, (37.536, 0.000)
38 0, (38.551, 0.000)
39 0, (39.565, 0.000)
40 0, (40.580, 0.000)
41 0, (41.594, 0.000)
42 0, (42.609, 0.000)
43 0, (43.623, 0.000)
44 0, (44.638, 0.000)
45 0, (45.652, 0.000)
46 0, (46.667, 0.000)
47 0, (47.681, 0.000)
48 0, (48.696, 0.000)
49 0, (49.710, 0.000)
50 0, (50.725, 0.000)
51 0, (51.739, 0.000)
52 0, (52.754, 0.000)
53 0, (53.768, 0.000)
54 0, (54.783, 0.000)
55 0, (55.797, 0.000)
56 0, (56.812, 0.000)
57 0, (57.826, 0.000)
58 0, (58.841, 0.000)
59 0, (59.855, 0.000)
60 0, (60.870, 0.000)
61 0, (61.884, 0.000)
62 0, (62.899, 0.000)
63 0, (63.913, 0.000)
64 0, (64.928, 0.000)
65 0, (65.942, 0.000)
66 0, (66.957, 0.000)
67 0, (67.971, 0.000)
68 0, (68.986, 0.000)
69 0, (70.000, 0.000)
70 0, (71.017, 0.271)
71 0, (72.034, 0.542)
72 0, (73.051, 0.814)
73 0, (74.068, 1.085)
74 0, (75.085, 1.356)
75 0, (76.102, 1.627)
76 0, (77.119, 1.898)
77 0, (78.136, 2.169)
78 0, (79.153, 2.441)
79 0, (80.169, 2.712)
80 0, (81.186, 2.983)
81 0, (82.203, 3.254)
82 0, (83.220, 3.525)
83 0, (84.237, 3.797)
84 0, (85.254, 4.068)
85 0, (86.271, 4.339)
86 0, (87.288, 4.610)
87 0, (88.305, 4.881)
88 0, (89.322, 5.153)
89 0, (90.339, 5.424)
90 0, (91.356, 5.695)
91 0, (92.373, 5.966)
92 0, (93.390, 6.237)
93 0, (94.407, 6.508)
94 0, (95.424, 6.780)
95 0, (96.441, 7.051)
96 0, (97.458, 7.322)
97 0, (98.475, 7.593)
98 0, (99.492, 7.864)
99 0, (100.508, 8.136)
100 0, (101.525, 8.407)
101 0, (102.542, 8.678)
102 0, (103.559, 8.949)
103 0, (104.576, 9.220)
104 0, (105.593, 9.492)
105 0, (106.610, 9.763)
106 0, (107.627, 10.034)
107 0, (108.644, 10.305)
108 0, (109.661, 10.576)
109 0, (110.678, 10.847)
110 0, (111.695, 11.119)
111 0, (112.712, 11.390)
112 0, (113.729, 11.661)
113 0, (114.746, 11.932)
114 0, (115.763, 12.203)
115 0, (116.780, 12.475)
116 0, (117.797, 12.746)
117 0, (118.814, 13.017)
118 0, (119.831, 13.288)
119 0, (120.847, 13.559)
120 0, (121.864, 13.831)
121 0, (122.881, 14.102)
122 0, (123.898, 14.373)
123 0, (124.915, 14.644)
124 0, (125.932, 14.915)
125 0, (126.949, 15.186)
126 0, (127.966, 15.458)
127 0, (128.983, 15.729)
128 0, (130.000, 16.000)
129 0, (131.034, 16.724)
130 0, (132.069, 17.448)
131 0, (133.103, 18.172)
132 0, (134.138, 18.897)
133 0, (135.172, 19.621)
134 0, (136.207, 20.345)
135 0, (137.241, 21.069)
136 0, (138.276, 21.793)
137 0, (139.310, 22.517)
138 0, (140.345, 23.241)
139 0, (141.379, 23.966)
140 0, (142.414, 24.690)
141 0, (143.448, 25.414)
142 0, (144.483, 26.138)
143 0, (145.517, 26.862)
144 0, (146.552, 27.586)
145 0, (147.586, 28.310)
146 0, (148.621, 29.034)
147 0, (149.655, 29.759)
148 0, (150.690, 30.483)
149 0, (151.724, 31.207)
150 0, (152.759, 31.931)
151 0, (153.793, 32.655)
152 0, (154.828, 33.379)
153 0, (155.862, 34.103)
154 0, (156.897, 34.828)
155 0, (157.931, 35.552)
156 0, (158.966, 36.276)
157 0, (160.000, 37.000)
0 1, (0.000, 1.052)
1 1, (1.014, 1.052)
2 1, (2.029, 1.052)
3 1, (3.043, 1.052)
4 1, (4.058, 1.052)
5 1, (5.072, 1.052)
6 1, (6.087, 1.052)
7 1, (7.101, 1.052)
8 1, (8.116, 1.052)
9 1, (9.130, 1.052)
10 1, (10.145, 1.052)
11 1, (11.159, 1.052)
12 1, (12.174, 1.052)
13 1, (13.188, 1.052)
14 1, (14.203, 1.052)
15 1, (15.217, 1.052)
16 1, (16.232, 1.052)
17 1, (17.246, 1.052)
18 1, (18.261, 1.052)
19 1, (19.275, 1.052)
20 1, (20.290, 1.052)
21 1, (21.304, 1.052)
22 1, (22.319, 1.052)
23 1, (23.333, 1.052)
24 1, (24.348, 1.052)
25 1, (25.362, 1.052)
26 1, (26.377, 1.052)
27 1, (27.391, 1.052)
28 1, (28.406, 1.052)
29 1, (29.420, 1.052)
30 1, (30.435, 1.052)
31 1, (31.449, 1.052)
32 1, (32.464, 1.052)
33 1, (33.478, 1.052)
34 1, (34.493, 1.052)
35 1, (35.507, 1.052)
36 1, (36.522, 1.052)
37 1, (37.536, 1.052)
38 1, (38.551, 1.052)
39 1, (39.565, 1.052)
40 1, (40.580, 1.052)
41 1, (41.594, 1.052)
42 1, (42.609, 1.052)
43 1, (43.623, 1.052)
44 1, (44.638, 1.052)
45 1, (45.652, 1.052)
46 1, (46.667, 1.052)
47 1, (47.681, 1.052)
48 1, (48.696, 1.052)
49 1, (49.710, 1.052)
50 1, (50.725, 1.052)
51 1, (51.739, 1.052)
52 1, (52.754, 1.052)
53 1, (53.768, 1.052)
54 1, (54.783, 1.052)
55 1, (55.797, 1.052)
56 1, (56.812, 1.052)
57 1, (57.826, 1.052)
58 1, (58.841, 1.052)
59 1, (59.855, 1.052)
60 1, (60.870, 1.052)
61 1, (61.884, 1.052)
62 1, (62.899, 1.052)
63 1, (63.913, 1.052)
64 1, (64.928, 1.052)
65 1, (65.942, 1.052)
66 1, (66.957, 1.052)
67 1, (67.971, 1.052)
68 1, (68.986, 1.052)
69 1, (70.000, 1.052)
70 1, (71.017, 1.321)
71 1, (72.034, 1.589)
72 1, (73.051, 1.858)
73 1, (74.068, 2.127)
74 1, (75.085, 2.396)
75 1, (76.102, 2.665)
76 1, (77.119, 2.933)
77 1, (78.136, 3.202)
78 1, (79.153, 3.471)
79 1, (80.169, 3.740)
80 1, (81.186, 4.009)
81 1, (82.203, 4.277)
82 1, (83.220, 4.546)
83 1, (84.237, 4.815)
84 1, (85.254, 5.084)
85 1, (86.271, 5.353)
86 1, (87.288, 5.622)
87 1, (88.305, 5.890)
88 1, (89.322, 6.159)
89 1, (90.339, 6.428)
90 1, (91.356, 6.697)
91 1, (92.373, 6.966)
92 1, (93.390, 7.234)
93 1, (94.407, 7.503)
94 1, (95.424, 7.772)
95 1, (96.441, 8.041)
96 1, (97.458, 8.310)
97 1, (98.475, 8.578)
98 1, (99.492, 8.847)
99 1, (100.508, 9.116)
100 1, (101.525, 9.385)
101 1, (102.542, 9.654)
102 1, (103.559, 9.922)
103 1, (104.576, 10.191)
104 1, (105.593, 10.460)
105 1, (106.610, 10.729)
106 1, (107.627, 10.998)
107 1, (108.644, 11.267)
108 1, (109.661, 11.535)
109 1, (110.678, 11.804)
110 1, (111.695, 12.073)
111 1, (112.712, 12.342)
112 1, (113.729, 12.611)
113 1, (114.746, 12.879)
114 1, (115.763, 13.148)
115 1, (116.780, 13.417)
116 1, (117.797, 13.686)
117 1, (118.814, 13.955)
118 1, (119.831, 14.223)
119 1, (120.847, 14.492)
120 1, (121.864, 14.761)
121 1, (122.881, 15.030)
122 1, (123.898, 15.299)
123 1, (124.915, 15.567)
124 1, (125.932, 15.836)
125 1, (126.949, 16.105)
126 1, (127.966, 16.374)
127 1, (128.983, 16.643)
128 1, (130.000, 16.912)
129 1, (131.034, 17.629)
130 1, (132.069, 18.347)
131 1, (133.103, 19.065)
132 1, (134.138, 19.783)
133 1, (135.172, 20.500)
134 1, (136.207, 21.218)
135 1, (137.241, 21.936)
136 1, (138.276, 22.654)
137 1, (139.310, 23.372)
138 1, (140.345, 24.089)
139 1, (141.379, 24.807)
140 1, (142.414, 25.525)
141 1, (143.448, 26.243)
142 1, (144.483, 26.961)
143 1, (145.517, 27.678)
144 1, (146.552, 28.396)
145 1, (147.586, 29.114)
146 1, (148.621, 29.832)
147 1, (149.655, 30.550)
148 1, (150.690, 31.267)
149 1, (151.724, 31.985)
150 1, (152.759, 32.703)
151 1, (153.793, 33.421)
152 1, (154.828, 34.139)
153 1, (155.862, 34.856)
154 1, (156.897, 35.574)
155 1, (157.931, 36.292)
156 1, (158.966, 37.010)
157 1, (160.000, 37.727)
0 2, (0.000, 2.156)
1 2, (1.014, 2.156)
2 2, (2.029, 2.156)
3 2, (3.043, 2.156)
4 2, (4.058, 2.156)
5 2, (5.072, 2.156)
6 2, (6.087, 2.156)
7 2, (7.101, 2.156)
8 2, (8.116, 2.156)
9 2, (9.130, 2.156)
10 2, (10.145, 2.156)
11 2, (11.159, 2.156)
12 2, (12.174, 2.156)
13 2, (13.188, 2.156)
14 2, (14.203, 2.156)
15 2, (15.217, 2.156)
16 2, (16.232, 2.156)
17 2, (17.246, 2.156)
18 2, (18.261, 2.156)
19 2, (19.275, 2.156)
20 2, (20.290, 2.156)
21 2, (21.304, 2.156)
22 2, (22.319, 2.156)
23 2, (23.333, 2.156)
24 2, (24.348, 2.156)
25 2, (25.362, 2.156)
26 2, (26.377, 2.156)
27 2, (27.391, 2.156)
28 2, (28.406, 2.156)
29 2, (29.420, 2.156)
30 2, (30.435, 2.156)
31 2, (31.449, 2.156)
32 2, (32.464, 2.156)
33 2, (33.478, 2.156)
34 2, (34.493, 2.156)
35 2, (35.507, 2.156)
36 2, (36.522, 2.156)
37 2, (37.536, 2.156)
38 2, (38.551, 2.156)
39 2, (39.565, 2.156)
40 2, (40.580, 2.156)
41 2, (41.594, 2.156)
42 2, (42.609, 2.156)
43 2, (43.623, 2.156)
44 2, (44.638, 2.156)
45 2, (45.652, 2.156)
46 2, (46.667, 2.156)
47 2, (47.681, 2.156)
48 2, (48.696, 2.156)
49 2, (49.710, 2.156)
50 2, (50.725, 2.156)
51 2, (51.739, 2.156)
52 2, (52.754, 2.156)
53 2, (53.768, 2.156)
54 2, (54.783, 2.156)
55 2, (55.797, 2.156)
56 2, (56.812, 2.156)
57 2, (57.826, 2.156)
58 2, (58.841, 2.156)
59 2, (59.855, 2.156)
60 2, (60.870, 2.156)
61 2, (61.884, 2.156)
62 2, (62.899, 2.156)
63 2, (63.913, 2.156)
64 2, (64.928, 2.156)
65 2, (65.942, 2.156)
66 2, (66.957, 2.156)
67 2, (67.971, 2.156)
68 2, (68.986, 2.156)
69 2, (70.000, 2.156)
70 2, (71.017, 2.422)
71 2, (72.034, 2.689)
72 2, (73.051, 2.955)
73 2, (74.068, 3.221)
74 2, (75.085, 3.488)
75 2, (76.102, 3.754)
76 2, (77.119, 4.020)
77 2, (78.136, 4.287)
78 2, (79.153, 4.553)
79 2, (80.169, 4.819)
80 2, (81.186, 5.086)
81 2, (82.203, 5.352)
82 2, (83.220, 5.618)
83 2, (84.237, 5.884)
84 2, (85.254, 6.151)
85 2, (86.271, 6.417)
86 2, (87.288, 6.683)
87 2, (88.305, 6.950)
88 2, (89.322, 7.216)
89 2, (90.339, 7.482)
90 2, (91.356, 7.749)
91 2, (92.373, 8.015)
92 2, (93.390, 8.281)
93 2, (94.407, 8.548)
94 2, (95.424, 8.814)
95 2, (96.441, 9.080)
96 2, (97.458, 9.347)
97 2, (98.475, 9.613)
98 2, (99.492, 9.879)
99 2, (100.508, 10.146)
100 2, (101.525, 10.412)
101 2, (102.542, 10.678)
102 2, (103.559, 10.944)
103 2, (104.576, 11.211)
104 2, (105.593, 11.477)
105 2, (106.610, 11.743)
106 2, (107.627, 12.010)
107 2, (108.644, 12.276)
108 2, (109.661, 12.542)
109 2, (110.678, 12.809)
